,id_issue,mes_chat,SENTIMENTO,TIPO_MSG,hierarquia_4,ds_cluster_sociodemographic,ds_message,ds_message_tratada,n_palavras,sentiment,fx_sentiment
4622,16230437,2023-05-01,,,Gestão de Extrato,,"['Dessa maneira vou ser obrigada a pagar o boleto físico  e assim que liberar minhas contas diminuir o uso desse cartão','Por isso não estou conseguindo acesso ao comprovante','Confesso que esperava mais desse banco.','Já tirei print mas não aceitam','Aparece o comprovante de pix mas não aparece do boleto que eu paguei','Comprovante de pagamento','Mas no sistema interno aqui da minha cidade apareceu essa dívida','Mas o que eu preciso não aparece','Muito obrigada','Por isso preciso do comprovante','Ôhh...','Talvez sirva pra eles','Estou precisando muito desse comprovante','Num sistema interno essa dívida existe ainda','Como eu disse o comprovante do pix aparece','Desejo sim por favor','Não mostra','Não aparece','Um momento','Como um banco não fornece comprovante de um pagamento feito à ele?','Mesmo não devendo pra vcs','Já acessei','Sem lógica isso','Queria que vcs me enviassem por gentileza','Meu nome consta como devedor desse valor','E precisam do comprovante pra dar baixa','Estou mexendo com um financiamento','Só mostra um saldo devedor','Pode ser','Nesse órgão acredito que não','Quanto tempo?','Dos outros mostra mas do que estou precisando não','Falar de outra coisa','Ñ precisa ser igual']",['dessa maneira vou ser obrigada a pagar o boleto fisico e assim que liberar minhas contas diminuir o uso desse cartao' 'por isso nao estou conseguindo acesso ao comprovante' 'confesso que esperava mais desse banco ' 'ja tirei print mas nao aceitam' 'aparece o comprovante de pix mas nao aparece do boleto que eu paguei' 'comprovante de pagamento' 'mas no sistema interno aqui da minha cidade apareceu essa divida' 'mas o que eu preciso nao aparece' 'muito obrigada' 'por isso preciso do comprovante' 'ohh  ' 'talvez sirva pra eles' 'estou precisando muito desse comprovante' 'num sistema interno essa divida existe ainda' 'como eu disse o comprovante do pix aparece' 'desejo sim por favor' 'nao mostra' 'nao aparece' 'um momento' 'como um banco nao fornece comprovante de um pagamento feito a ele ' 'mesmo nao devendo pra vcs' 'ja acessei' 'sem logica isso' 'queria que vcs me enviassem por gentileza' 'meu nome consta como devedor desse valor' 'e precisam do comprovante pra dar baixa' 'estou mexendo com um financiamento' 'so mostra um saldo devedor' 'pode ser' 'nesse orgao acredito que nao' 'quanto tempo ' 'dos outros mostra mas do que estou precisando nao' 'falar de outra coisa' 'n precisa ser igual'],200,-0.9695,negativo
4666,17971117,2023-08-01,,,Envio de PIX,"23 - Homem, 41 anos ou mais, Nordeste","['Espero que se resolva pois não quero mover uma ação contra o banco','Muito estranho isso','segunda vez que isso acontece o dinheiro desaparece da conta','O erro foi do sistema de vocês','Não vou pagar multa','Oi fiz um pix pra essa conta pra pagar meu cartão do Will e o dinheiro sumiu e não mostra o pagamento realizado','Pois realizei com esse valor','Obrigado pela atenção','Pode me passar o número do protocolo','Por favor','Fui para pagamento do cartão digitei a senha e sumiu da conta o dinheiro e nada de pagamento realizado','236,34','Não dá pra fazer Pix','Pix','Mais opções','Muito chato isso','Como fica o pagamento da fatura','Complicado isso','O que está acontecendo com a conta','Perdemos a confiança desse jeito','Fiz um pagamento o dinheiro sumiu da conta e não aparece o pagamento realizado']",['espero que se resolva pois nao quero mover uma acao contra o banco' 'muito estranho isso' 'segunda vez que isso acontece o dinheiro desaparece da conta' 'o erro foi do sistema de voces' 'nao vou pagar multa' 'oi fiz um pix pra essa conta pra pagar meu cartao do will e o dinheiro sumiu e nao mostra o pagamento realizado' 'pois realizei com esse valor' 'obrigado pela atencao' 'pode me passar o numero do protocolo' 'por favor' 'fui para pagamento do cartao digitei a senha e sumiu da conta o dinheiro e nada de pagamento realizado' '  ' 'nao da pra fazer pix' 'pix' 'mais opcoes' 'muito chato isso' 'como fica o pagamento da fatura' 'complicado isso' 'o que esta acontecendo com a conta' 'perdemos a confianca desse jeito' 'fiz um pagamento o dinheiro sumiu da conta e nao aparece o pagamento realizado'],143,-0.9349,negativo
4692,17944054,2023-08-01,,,Falsidade ideológica,"17 - Mulher, 25 a 40 anos, Sudeste e Sul","['Pois e se vc poder ver isso pra mim','Falar de outra coisa','Pq ele me enviou um contrato','Mais eu tenho todos os recibos','E que eu fiz um emprestimo com voces mais o dinheiro ainda nao caiu e a seguradora me pediu um monte de pagamento e eu limpei a minha conta pq segundo a seguradora que voces trabalham o banco central estava cobrando uma taxa','Ou ele se der de mandar pdf','Nao so isso muito','Se vc quiser eu te mando printis','Esse o que fica me cobrando','Dai eu fiquei com medo de ser golpe e resolvi entrar em contato com voces','Eu tenho todos os printis','Nao foi pela caixa mercado pago e pic pay','Ja estou entrando em contato com os bancos','E esse e que me ofereceu o empréstimo','Sim so pra deixar voces cientes']",['pois e se vc poder ver isso pra mim' 'falar de outra coisa' 'pq ele me enviou um contrato' 'mais eu tenho todos os recibos' 'e que eu fiz um emprestimo com voces mais o dinheiro ainda nao caiu e a seguradora me pediu um monte de pagamento e eu limpei a minha conta pq segundo a seguradora que voces trabalham o banco central estava cobrando uma taxa' 'ou ele se der de mandar pdf' 'nao so isso muito' 'se vc quiser eu te mando printis' 'esse o que fica me cobrando' 'dai eu fiquei com medo de ser golpe e resolvi entrar em contato com voces' 'eu tenho todos os printis' 'nao foi pela caixa mercado pago e pic pay' 'ja estou entrando em contato com os bancos' 'e esse e que me ofereceu o emprestimo' 'sim so pra deixar voces cientes'],142,-0.9403,negativo
4711,16744427,2023-06-01,,,Falsidade ideológica,"21 - Mulher, Até 24 anos, Nordeste","['Uma empresa terceirizada entrou em contato comigo','Sim eu confirmei os meus 3 primeros dígitos do meu CPF','Não. Muito obrigada pelo contato. Só tou com medo caso ocorra algum golpe por eu te informado os 3 primeiros dígitos do meu CPF. Mas a senhora está dizendo que não tem problema kkk mas ainda sim tou com medo. Consultei o cartão antigo e o novo e realmente não tem nenhum número. Espero que não façam nada com o meu CPF. Obrigada pelo contato','O número eo 0800','Eu bloqueei o cartão caso eles pudessem fazer alguma coisa','Mandando eu enviar um co.provante por Whatsapp no mês que vem','Eles falaram que tinha esse 0800 atrás do cartão. Eu procurei e não encontrei','Do atraso desse mês','Bom dia. Entraram emcontato comigo pedindo para q eu confirmasse os 3 primeiros dígitos do meu CPF e disseram pra eu enviar o comprovante de pagamento por Whatsapp no mês que vem senão o meu bome iria para o SERASA. Disseram que era uma empresa terceirizada da will. Essa informação é verdadeira?','Tem algum risco?']",['uma empresa terceirizada entrou em contato comigo' 'sim eu confirmei os meus  primeros digitos do meu cpf' 'nao muito obrigada pelo contato so tou com medo caso ocorra algum golpe por eu te informado os  primeiros digitos do meu cpf mas a senhora esta dizendo que nao tem problema kkk mas ainda sim tou com medo consultei o cartao antigo e o novo e realmente nao tem nenhum numero espero que nao facam nada com o meu cpf obrigada pelo contato' 'o numero eo ' 'eu bloqueei o cartao caso eles pudessem fazer alguma coisa' 'mandando eu enviar um co provante por whatsapp no mes que vem' 'eles falaram que tinha esse  atras do cartao eu procurei e nao encontrei' 'do atraso desse mes' 'bom dia entraram emcontato comigo pedindo para q eu confirmasse os  primeiros digitos do meu cpf e disseram pra eu enviar o comprovante de pagamento por whatsapp no mes que vem senao o meu bome iria para o serasa disseram que era uma empresa terceirizada da will essa informacao e verdadeira ' 'tem algum risco '],183,-0.9746,negativo
4717,16058660,2023-05-01,,,Falsidade ideológica,"16 - Homem, 25 a 40 anos, Nordeste","['Só se tu mandar uma mensagem por WhatsApp aí eu mando para VC','É porque o número me ligou me falando de uma compra','Ligaram para mim no número e falaram que meu cartão tinha sido clonado aí eu queria saber a verdade aí eu fui olhar agora na conta também e não tá o saldo não tem na conta','Ela me informou que tinha realizado uma compra no meu cartão e se podia liberar','Falar de outra coisa','Eles pediram para abrir o aplicativo na ligação só que eu desliguei a ligação na hora','Não até agora não','Blz','Porque assim por esse aplicativo eu não consigo','Ai também queria saber se era da empresa ou não','Uma compra de 800 e pouco em Petrolina']",['so se tu mandar uma mensagem por whatsapp ai eu mando para vc' 'e porque o numero me ligou me falando de uma compra' 'ligaram para mim no numero e falaram que meu cartao tinha sido clonado ai eu queria saber a verdade ai eu fui olhar agora na conta tambem e nao ta o saldo nao tem na conta' 'ela me informou que tinha realizado uma compra no meu cartao e se podia liberar' 'falar de outra coisa' 'eles pediram para abrir o aplicativo na ligacao so que eu desliguei a ligacao na hora' 'nao ate agora nao' 'blz' 'porque assim por esse aplicativo eu nao consigo' 'ai tambem queria saber se era da empresa ou nao' 'uma compra de  e pouco em petrolina'],125,-0.9349,negativo
4744,16759355,2023-06-01,positivo,solicitacao,Bloqueio de conta,"24 - Mulher, 25 a 40 anos, Centro-Oeste e Norte","['Obrigado José','Essa semana eu pago e quero n precisar de parcelar mais','Se posso fazer o bloqueio temporário por enquanto até eu controlar esses valores alto entende','Pra não correr o risco de cancelar minhas assinaturas','Bom dia jose','E só n correr o risco de ninguém usar até eu dar uma baixada na fatura','está alta e tive que parcelar','Entendi','Preciso da ajuda de vcs','Esse mês veio 2000 e pouco','Quer dizer que cancela?','Muito alta sabe','Minha filha usa pelo aplicativo dela','Tá bom','Só preciso da sua ajuda nessa dúvida','Tem um ótimo dia','No caso tem a assinatura da minha tim e da netiflix','É porque eu queria só até baixar a fatura e n gastar sabe','Não José','Ficar uns 30 dias ou 60 sem usar','😁','E as assinaturas vão cair na fatura mesmo ele estando bloqueado sem correr o risco de cancelar minhas assinaturas?','Mas pede sabe','Quero saber se eu posso bloquear e desbloquear meu cartão temporário sem dar problemas em minhas assinatura?','Eu que estou afirmando pra vc','Por isso queria saber de vc','Só que eu queria fazer isso pra correr o risco de e nem ela usar até eu controlar','Agora entendi como funciona','☀️🤍','Deus te abençoe','Vc me ajudou muito','Porque cada uma cai em datas diferentes','Se quiser usar na mesma hora posso desbloquear e usar?','Meu medo é de perder as assinaturas que são a tim e a netiflix','Os valotes','Bloqueio e desbloqueio do cartão','Aonde eu vejo o dia? Na própria fatura','Mês que vem ainda está 1000 e pouco']",['obrigado jose' 'essa semana eu pago e quero n precisar de parcelar mais' 'se posso fazer o bloqueio temporario por enquanto ate eu controlar esses valores alto entende' 'pra nao correr o risco de cancelar minhas assinaturas' 'bom dia jose' 'e so n correr o risco de ninguem usar ate eu dar uma baixada na fatura' 'esta alta e tive que parcelar' 'entendi' 'preciso da ajuda de vcs' 'esse mes veio  e pouco' 'quer dizer que cancela ' 'muito alta sabe' 'minha filha usa pelo aplicativo dela' 'ta bom' 'so preciso da sua ajuda nessa duvida' 'tem um otimo dia' 'no caso tem a assinatura da minha tim e da netiflix' 'e porque eu queria so ate baixar a fatura e n gastar sabe' 'nao jose' 'ficar uns  dias ou  sem usar' '' 'e as assinaturas vao cair na fatura mesmo ele estando bloqueado sem correr o risco de cancelar minhas assinaturas ' 'mas pede sabe' 'quero saber se eu posso bloquear e desbloquear meu cartao temporario sem dar problemas em minhas assinatura ' 'eu que estou afirmando pra vc' 'por isso queria saber de vc' 'so que eu queria fazer isso pra correr o risco de e nem ela usar ate eu controlar' 'agora entendi como funciona' '' 'deus te abencoe' 'vc me ajudou muito' 'porque cada uma cai em datas diferentes' 'se quiser usar na mesma hora posso desbloquear e usar ' 'meu medo e de perder as assinaturas que sao a tim e a netiflix' 'os valotes' 'bloqueio e desbloqueio do cartao' 'aonde eu vejo o dia na propria fatura' 'mes que vem ainda esta  e pouco'],273,-0.9556,negativo
4752,18029171,2023-08-01,,,Token SMS,"2 - Mulher, Solteira, 35 anos ou mais, cidade Grande, Capital, do Nordeste","['Claro','É outro problema com o código','Não consigo desbloquear a senha do cartão virtual','Recebi','Senha ou foto de acesso','E não dar certo','Chega um código msm','Faço direto e não dar certo','Problema com o código','Mas os códigos dão erro','Não tá indo código pra meu e-mail','Já tentei várias vezes e não dar certo','Eu digito rápido e mesmo assim dar erro','gerlandia_barros@hotmail.com','Senha bloqueada e o código de trocar senha da erro','85986353530','Mas não deu certo','Eu aguardo e coloco e da erro na segunda digitação','Quando digito pela segunda vez dar erro','Senha do cartão','Aparece erro de código']",['claro' 'e outro problema com o codigo' 'nao consigo desbloquear a senha do cartao virtual' 'recebi' 'senha ou foto de acesso' 'e nao dar certo' 'chega um codigo msm' 'faco direto e nao dar certo' 'problema com o codigo' 'mas os codigos dao erro' 'nao ta indo codigo pra meu e mail' 'ja tentei varias vezes e nao dar certo' 'eu digito rapido e mesmo assim dar erro' 'gerlandia barros@hotmail com' 'senha bloqueada e o codigo de trocar senha da erro' ' ' 'mas nao deu certo' 'eu aguardo e coloco e da erro na segunda digitacao' 'quando digito pela segunda vez dar erro' 'senha do cartao' 'aparece erro de codigo'],110,-0.9001,negativo
4804,16761844,2023-06-01,,,Pagamento de Boleto,"22 - Mulher, 41 anos ou mais, Sudeste e Sul","['Espero que resolva','Tânia','Não sou uma pessoa alienada','Vai dar um belo de um processo','já estou sendo orientada','Gostaria de saber para onde foi o pix de 1000 que enviei','estou querendo pagar e vcs não resolveram o problema. Recebi ontem uma mensagem que meu nome foi para SPC. Vou querer danos morais.','Capturei todas às telas','16189196/16278978/16346701/16483787 todos esses protocolos e só descaso','E o que faço com às mensagens que recebo todos os dias de cobrança','falando dos juros nome no SPC etc. Pô um lado vcs não resolvem ','muito contraditório','Um absurdo','comecei a falar com vcs dia 15/05']",['espero que resolva' 'tania' 'nao sou uma pessoa alienada' 'vai dar um belo de um processo' 'ja estou sendo orientada' 'gostaria de saber para onde foi o pix de  que enviei' 'estou querendo pagar e vcs nao resolveram o problema recebi ontem uma mensagem que meu nome foi para spc vou querer danos morais ' 'capturei todas as telas' ' todos esses protocolos e so descaso' 'e o que faco com as mensagens que recebo todos os dias de cobranca' 'falando dos juros nome no spc etc po um lado vcs nao resolvem ' 'muito contraditorio' 'um absurdo' 'comecei a falar com vcs dia '],105,-0.9042,negativo
4807,16931612,2023-06-01,,,Não entendimento fatura,"7 - Homem, Solteiro, 25 anos ou mais, cidade Pequena do Nordeste, ensino fundamental cursando ou completo","['Responder mensagem de antes','Vou mandar a foto do resumo aqui da fatura que aí você vendo','É outro assunto','Porque foi pago r$ 1.200 e alguma coisa que eu não tô lembrada aí ficou mil disponível de limite aí a gente fez uma compra de 20 e depois uma de 82 aí quando quando virou quando foi hoje que a gente foi comprar que tinha ficado r$ 897 aí hoje quando a gente foi comprar só tinha 79 aí eu entrei aqui no no detalhe da fatura apareceu isso daí cobra no juro de uma coisa que','Pois tá certo pois eu não vou mais discutir não que eu já até com dor de cabeça aí quer dizer que nesse mês foi para pagar esse juro aí quando chegar no próximo mês que eu for pagar a próxima a próxima fatura vai entrar e sair de','Olha eu só queria saber o que foi descontado hoje o que é o que foi por que que foi descontado esse valor aí se tinha 897 aí quando a gente for olhar tinha 777 ou era 79 eu só queria saber o que foi descontado porque a gente pagou r$ 1.225 aí esses 225 já não era cobrado juro não porque quando a gente pediu o boleto foi para incluir tudo aí não falaram nada só mandaram um boleto desse valor porque se disser se tivesse falado que o juro era parcelado a gente tinha pedido para pagar logo tudo de uma vez só que não sei me explicasse isso porque que foi descontado esse valor hoje em cima dos 897 eu acho que tinha aí quando a gente for olhar só tinha 779 esse que foi descontado é pagando juro por causa que o Júlio não vinha Dormiu não tinha incluído no meu não esses 2005 é isso que eu queria saber','Aí quer dizer que agora todos os meses vai vir esse daí para pagar ou só esse mês','Eu pedi o boleto aí aí me enviaram no valor total de r$ 1000 de 1225 não foi nada','Noite sim minha fatura é de r$ 1000 Fiz uma compra e ficou 897 até o dia 18 tinha esses 800 e 97 aí depois que virou que dia 19 fechou a fatura aí aí passou para r$ 779 aí eu queria entender por quê Porque eu fui eu fui olhar eu não comprei nada eu só tinha comprado tinha botado a primeira cama foi r$ 20 depois 82 aí foi até 82 de duas vezes aí diminuindo aí hoje eu fui comprar confiando que tinha os 897 aí quando foi olhar só tinha 777 aí eu fui olhar tinha sido como se fosse de jura isso que eu queria saber','Mas não foi parcelado não foi pago r$ 1225 de uma vez a gente não parcelou nada não foi pago r$ 1225 de uma vez no monte a gente não','Falar de outra coisa','Sim foi pago com atraso mas aí esses r$ 225 aí não é cobrando o juro não porque o Luciano limite é 1000 foi gastado dos Mil aí foi botar de cima mais r$ 225 aí não é o juro','Queria saber pq meu limite era 897 e hj tá  777 e alguma coisa','Fatura do cartão','Blz','Voltar pro começo','Não obrigado']",['responder mensagem de antes' 'vou mandar a foto do resumo aqui da fatura que ai voce vendo' 'e outro assunto' 'porque foi pago r$   e alguma coisa que eu nao to lembrada ai ficou mil disponivel de limite ai a gente fez uma compra de  e depois uma de  ai quando quando virou quando foi hoje que a gente foi comprar que tinha ficado r$  ai hoje quando a gente foi comprar so tinha  ai eu entrei aqui no no detalhe da fatura apareceu isso dai cobra no juro de uma coisa que' 'pois ta certo pois eu nao vou mais discutir nao que eu ja ate com dor de cabeca ai quer dizer que nesse mes foi para pagar esse juro ai quando chegar no proximo mes que eu for pagar a proxima a proxima fatura vai entrar e sair de' 'olha eu so queria saber o que foi descontado hoje o que e o que foi por que que foi descontado esse valor ai se tinha  ai quando a gente for olhar tinha  ou era  eu so queria saber o que foi descontado porque a gente pagou r$   ai esses  ja nao era cobrado juro nao porque quando a gente pediu o boleto foi para incluir tudo ai nao falaram nada so mandaram um boleto desse valor porque se disser se tivesse falado que o juro era parcelado a gente tinha pedido para pagar logo tudo de uma vez so que nao sei me explicasse isso porque que foi descontado esse valor hoje em cima dos  eu acho que tinha ai quando a gente for olhar so tinha  esse que foi descontado e pagando juro por causa que o julio nao vinha dormiu nao tinha incluido no meu nao esses  e isso que eu queria saber' 'ai quer dizer que agora todos os meses vai vir esse dai para pagar ou so esse mes' 'eu pedi o boleto ai ai me enviaram no valor total de r$  de  nao foi nada' 'noite sim minha fatura e de r$  fiz uma compra e ficou  ate o dia  tinha esses  e  ai depois que virou que dia  fechou a fatura ai ai passou para r$  ai eu queria entender por que porque eu fui eu fui olhar eu nao comprei nada eu so tinha comprado tinha botado a primeira cama foi r$  depois  ai foi ate  de duas vezes ai diminuindo ai hoje eu fui comprar confiando que tinha os  ai quando foi olhar so tinha  ai eu fui olhar tinha sido como se fosse de jura isso que eu queria saber' 'mas nao foi parcelado nao foi pago r$  de uma vez a gente nao parcelou nada nao foi pago r$  de uma vez no monte a gente nao' 'falar de outra coisa' 'sim foi pago com atraso mas ai esses r$  ai nao e cobrando o juro nao porque o luciano limite e  foi gastado dos mil ai foi botar de cima mais r$  ai nao e o juro' 'queria saber pq meu limite era  e hj ta  e alguma coisa' 'fatura do cartao' 'blz' 'voltar pro comeco' 'nao obrigado'],557,-0.9965,negativo
4820,16638328,2023-06-01,,,Não reconhecimento de compra no crédito,"0 - Mulher, Casada, 25 anos ou mais, cidade Pequena do Nordeste","['Bahia Brasil','Serrinha','Ainda preciso de ajuda.','Ola boa tarde olha preciso de ajuda n vou falar mas vou resolver na justiça','Tentei comprar uma maleta de ferramenta mas não consegui efetuar a compra','Até nada de vcs mandarem um retorno','No meu cartão','Alguém vai me atender ou não','Só as duas do dia 5 que eu não reconheço','Perdão dia 5 não do dia 2','Não não emprestei a ninguém','CEP 48700000 Rua: Barão de Cotegipe N:330 Centro','02/06/2023 PERFECT PAY TECNOLOGIA BARUERI BRA 54,27 02/06/2023 PERFECT PAY TECNOLOGIA BARUERI BRA 21,09','Também não reconheço','Acredito que sim','Não nunca fiz','Não tenho como enviar que eu não sei qual foi','Fizeram duas compras no meio cartão quero resolver','Não o cartão está comigo','AP 101','As outras eu reconheço que eu comprei','Parcelamento de fatura']",['bahia brasil' 'serrinha' 'ainda preciso de ajuda ' 'ola boa tarde olha preciso de ajuda n vou falar mas vou resolver na justica' 'tentei comprar uma maleta de ferramenta mas nao consegui efetuar a compra' 'ate nada de vcs mandarem um retorno' 'no meu cartao' 'alguem vai me atender ou nao' 'so as duas do dia  que eu nao reconheco' 'perdao dia  nao do dia ' 'nao nao emprestei a ninguem' 'cep  rua barao de cotegipe n  centro' ' perfect pay tecnologia barueri bra    perfect pay tecnologia barueri bra  ' 'tambem nao reconheco' 'acredito que sim' 'nao nunca fiz' 'nao tenho como enviar que eu nao sei qual foi' 'fizeram duas compras no meio cartao quero resolver' 'nao o cartao esta comigo' 'ap ' 'as outras eu reconheco que eu comprei' 'parcelamento de fatura'],141,-0.9127,negativo
4822,16753729,2023-06-01,positivo,solicitacao,Não reconhecimento de compra no crédito,"5 - Mulher, Casada, 25 anos ou mais, cidade Grande, Capital, do Sudeste ou Sul","['Somente isso','muito obrigada!','Imagina','E ai as duas vezes deu não autorizado','acho que por falta de saldo','Sim','apenas essa','Pelo menos foi o que entendi','porque tá 0,00','Oi Larissa','tudo bem','e contigo?','Precisa de mais alguma coisa ou agora é só esperar o cartão chegar?','Meu cartão não está perdido nao','Desculpa','mas não entendi','Certo,','CEP: 82560-435 Rua: Jovino do Rosário Número: 1674 Bairro: Boa Vista  Cidade: Curitiba  Estado: Paraná  Complemento (ex: casa','apartamento','comercial','quadra','lote): torre 4','apartamento 107','Solicitar análise de que?','Então','já é a segunda vez que vejo aqui que fizeram uma tentativa de compra','que não foi eu','A outra tentativa que deu saldo insuficiente não aparece aqui nos registros do app','só apareceu a notificação pra mim','no dia que tentaram','De qualquer forma','quero bloquear esse cartão e receber um novo','Larissa','você entendeu que a compra não chegou a ser realizada? Foi apenas a tentativa?','Essa que marquei aí foi hoje','Apto 501','Era da minha antiga casa. Rua Coronel Amazonas Marcondes','1225','Não','não emprestei o cartão pra ninguém.','Acho que meu cartão foi clonado']",['somente isso' 'muito obrigada ' 'imagina' 'e ai as duas vezes deu nao autorizado' 'acho que por falta de saldo' 'sim' 'apenas essa' 'pelo menos foi o que entendi' 'porque ta  ' 'oi larissa' 'tudo bem' 'e contigo ' 'precisa de mais alguma coisa ou agora e so esperar o cartao chegar ' 'meu cartao nao esta perdido nao' 'desculpa' 'mas nao entendi' 'certo ' 'cep   rua jovino do rosario numero  bairro boa vista cidade curitiba estado parana complemento (ex casa' 'apartamento' 'comercial' 'quadra' 'lote) torre ' 'apartamento ' 'solicitar analise de que ' 'entao' 'ja e a segunda vez que vejo aqui que fizeram uma tentativa de compra' 'que nao foi eu' 'a outra tentativa que deu saldo insuficiente nao aparece aqui nos registros do app' 'so apareceu a notificacao pra mim' 'no dia que tentaram' 'de qualquer forma' 'quero bloquear esse cartao e receber um novo' 'larissa' 'voce entendeu que a compra nao chegou a ser realizada foi apenas a tentativa ' 'essa que marquei ai foi hoje' 'apto ' 'era da minha antiga casa rua coronel amazonas marcondes' ' ' 'nao' 'nao emprestei o cartao pra ninguem ' 'acho que meu cartao foi clonado'],200,-0.9542,negativo
4825,17098989,2023-06-01,,,Dúvidas em lançamentos,"20 - Homem, Até 24 anos, Sudeste e Sul","['Voltar pro começo','E vcs ja falou outra coisa','Dados tudo correto esperei ate hoje pq falou que demorava ate um dia úteis para cair','Coloquei tudo certinho','Pq o app falou que a compra foi cancelada pelo banco','Cartão virtual','Cancelar compra','Compra não autorizada','Preciso do dinheiro para mim fazer um pagamento','Entandi','Palhaça isso em','A compra esta foi debitado no meu cartão tudo certo so que nao caiu na conta do destinado. Entrei em contato com o aplicativo! Eles falou que o meu banco fez o cancelamento','Estorno na fatura','Problema com compra','Falar de outra coisa','Leva quantos dias para sair da análise','Pode ser que seja antes?','Att']",['voltar pro comeco' 'e vcs ja falou outra coisa' 'dados tudo correto esperei ate hoje pq falou que demorava ate um dia uteis para cair' 'coloquei tudo certinho' 'pq o app falou que a compra foi cancelada pelo banco' 'cartao virtual' 'cancelar compra' 'compra nao autorizada' 'preciso do dinheiro para mim fazer um pagamento' 'entandi' 'palhaca isso em' 'a compra esta foi debitado no meu cartao tudo certo so que nao caiu na conta do destinado entrei em contato com o aplicativo eles falou que o meu banco fez o cancelamento' 'estorno na fatura' 'problema com compra' 'falar de outra coisa' 'leva quantos dias para sair da analise' 'pode ser que seja antes ' 'att'],114,-0.9348,negativo
4888,15609897,2023-04-01,,,Token SMS,"31 - Mulher, 41 anos ou mais, Centro-Oeste e Norte","['973.575.102.04','Falar de outra coisa','Porque o atendimento de você é uma lerdeza','Eu não estou recebendo o meu código para mudar a senha de 4 dígitos','Espero que não demore','Não não Obrigada','985386108','Que restrição é essa?','Eu que digitei errado... é 985396108','Claro','Ta','Do SMS','19/07/1982','Eu não estou recebendo o código para mudar a minha senha de 4 dígitos']",['    ' 'falar de outra coisa' 'porque o atendimento de voce e uma lerdeza' 'eu nao estou recebendo o meu codigo para mudar a senha de  digitos' 'espero que nao demore' 'nao nao obrigada' ' ' 'que restricao e essa ' 'eu que digitei errado  e ' 'claro' 'ta' 'do sms' ' ' 'eu nao estou recebendo o codigo para mudar a minha senha de  digitos'],71,-0.9022,negativo
4897,16624052,2023-06-01,,,Cobrança,"0 - Mulher, Casada, 25 anos ou mais, cidade Pequena do Nordeste","['Quero que vocês resolva logo esse problema aí que vocês está sujando meu nome','Se meu nome ficar sujo eu processo vocês e vão me pagar uma indenização por isso dou uma pessoa justa até demais e estou cansada de receber essas cobranças','Falar de outra coisa','Vocês resolva logo isso porque não quero ter problemas com vocês','Olha aí estas falando que meu nome está sujo']",['quero que voces resolva logo esse problema ai que voces esta sujando meu nome' 'se meu nome ficar sujo eu processo voces e vao me pagar uma indenizacao por isso dou uma pessoa justa ate demais e estou cansada de receber essas cobrancas' 'falar de outra coisa' 'voces resolva logo isso porque nao quero ter problemas com voces' 'olha ai estas falando que meu nome esta sujo'],66,-0.9764,negativo
4932,15682794,2023-04-01,,,Resultado análise de fraude,"22 - Mulher, 41 anos ou mais, Sudeste e Sul","['O ruim desse cartão é que não tenho o telefone para gente falar com a central só por mensagem é horrível isso','Então Gabi o vencimento da minha fatura é dia 10 de Maio se até lá não tiver o análise e não tiver feito direitinho tirar dessas compras do Facebook da minha fatura eu não vou poder pagar porque eu não vou pagar uma coisa que eu não fiz foi essas compras vocês viram que é uma conta de Facebook jamais vou fazer compra no Facebook','Eu vou ficar esperando vocês mandarem direitinho a minha fatura que eu gastei que eu sei o que é que vai vir não essas compras de Facebook eu não vou pagar se você até o dia 10 não resolver isso eu não vou pagar não vai dar para mim pagar esse absurdo de compra já tem mais de um mês que foi feito isso e não resolve','Voltar pro começo','Olá boa tarde Gabi eu vi suas respostas que você mandou agora para mim então','Dá vontade de nem usar mais o cartão Aliás nem usei mais porque porque eu quero que resolver primeiro esse problema','Falar de outra coisa','Limite de crédito']",['o ruim desse cartao e que nao tenho o telefone para gente falar com a central so por mensagem e horrivel isso' 'entao gabi o vencimento da minha fatura e dia  de maio se ate la nao tiver o analise e nao tiver feito direitinho tirar dessas compras do facebook da minha fatura eu nao vou poder pagar porque eu nao vou pagar uma coisa que eu nao fiz foi essas compras voces viram que e uma conta de facebook jamais vou fazer compra no facebook' 'eu vou ficar esperando voces mandarem direitinho a minha fatura que eu gastei que eu sei o que e que vai vir nao essas compras de facebook eu nao vou pagar se voce ate o dia  nao resolver isso eu nao vou pagar nao vai dar para mim pagar esse absurdo de compra ja tem mais de um mes que foi feito isso e nao resolve' 'voltar pro comeco' 'ola boa tarde gabi eu vi suas respostas que voce mandou agora para mim entao' 'da vontade de nem usar mais o cartao alias nem usei mais porque porque eu quero que resolver primeiro esse problema' 'falar de outra coisa' 'limite de credito'],199,-0.9764,negativo
