,,,,,,,,
,,,,,,,,
,Dados,dt_mes_true,,,,,,
,Média - valor incremental bruto,,,Média - LTV Receita Valor_base,,,Total Média - valor incremental bruto,Total Média - LTV Receita Valor_base
hierarquia_4,2023-01-01,2023-02-01,2023-03-01,2023-01-01,2023-02-01,2023-03-01,,
Erro acessar app,"2561,47422152538","1241,92088396949","3714,01178684046","1025,4568668237","1024,3633859906","12165,6237769314","2601,78805641314","5032,65114327849"
Erro Funcionalidades,"15468,2426662135","13610,0301047952","6707,74331040203","24494,5698769129","16992,4248444331","9894,82209188749","11928,6720271369","17127,2722710779"
Falsidade ideológica,,"1740,28591104263","1278,29207872035",,"1625,17583865908","1736,97788104794","1476,59569584245","1688,98860531259"
Fatura duplicada,"665,731112162837","1450,39629748603","728,52752093357","129,459963407093","1469,66937862883","9372,39086019959","853,745575609318","3397,8065798029"
Faturas futuras,"2916,00388866151","3310,50037642938","2557,90262291241","16196,3501308716","2454,90299459989","9101,03913095878","2931,67768320546","9197,44863822245"
Fechamento Fatura,"3500,62285018536","6677,64131302948","2895,67474156064","9632,25552103707","10660,0946988526","8030,4604429678","4434,53163861776","9489,13790895261"
Gerar fatura,"2518,16520921823","3662,3007845332","4924,07275141928","3137,77813682356","5326,44881089683","5016,65314193592","3763,89968409109","4568,26291489269"
Gestão de Extrato,"2448,8395510403","4255,93693954041","2274,67383225662","7489,84963148011","6232,26922804499","3853,20484486122","3008,52455465589","5833,90091202422"
Gestão de Recarga,"2860,6296367084","2777,09811986612","2337,0382103307","1632,45152605724","3365,50071822776","8549,40292857803","2658,01895869462","4519,33846274999"
Gestão de Saque,"3631,88242807688","3200,9461822122","1558,28736168874","14470,1177251165","1808,6603092406","1835,86929755956","2829,70850047127","6389,13629844819"
Gestão do Bolso/Rendimento Conta,"2910,06368172005","2506,25397180461","3951,96747666856","626,231129358863","344,165749046174","1745,48302989405","3150,55285695213","934,594435494564"
Google pay,,"1168,47867498664",,,"-33,586908522506",,"1168,47867498664","-33,586908522506"
Informações sobre cartão,,,"448,109739548134",,,"28,027397260274","448,109739548134","28,027397260274"
Informações sobre fatura,"30567,8156564564","41426,4995679492","29723,6637474005","162306,145992416","136142,295391158","236014,506808499","33905,9929906021","178154,316064025"
Lançamentos duplicados,"3479,95843187952","1537,64359533153","1853,57459684785","6210,87685908856","1474,81391849441","4635,8549441953","2226,82817017734","3838,09688034992"
Member Get Member (MGM),"1216,07018107186","1144,317572124",500,"4622,59399949292","1086,97848203379","678,71799428013","1114,89111924855","2662,97076619321"
Não entendimento fatura,"20130,4945216265","15245,648278339","24510,2688809837","34909,9920916712","32077,0326070202","75973,1804015683","19962,1372269831","47653,4017000866"
Não reconhecimento de compra no crédito,"79492,0617777229","78146,3105877327","66685,3731986257","93832,542406345","118055,318246428","89905,5253034474","74774,5818546938","100597,79531874"
Não reconhecimento de PIX,"1391,34065673745","712,294399603967","987,173086918466","6,27394883229981","460,638279361074","14389,9855829887","993,349740869792","5565,0560928812"
Não reconhecimento de recarga/título/ted,3700,500,"1039,12053739945",0,"-64,9000382540717","61,3582286750755","1509,85350809233","7,24860042122685"
Novos Produtos,"6324,95051191502","6848,29813927985","4285,67034065497","13130,2850330331","14688,9428941066","11281,111728441","5827,04638385323","13043,1994877085"
Pagamento de Boleto,"3943,82100412815","2892,70580039588","4893,97159921807","10164,4153356164","10344,2931577329","27841,0219360547","3910,37772144263","16143,1968861262"
Parcelamento de compra,"2393,93926153541","2937,52624683764","2380,02464684027","974,203945492723","3853,16843214639","690,72744719774","2594,5988052179","1985,15379799303"
Primeiro Desbloqueio de cartão,"2044,34616393772","3316,93693346413","5031,07823745671","603,046068336812","11874,5179987536","3763,72958555613","3590,36409154953","5351,25292984813"
Problema de Cadastro da proposta,,"652,262486996917",500,,0,"1124,00237051803","570,594425789479","602,8739987324"
Problema no recebimento do cartão,"1376,76245674376","879,454940703908","1167,18004383564","614,277685863962","-24,8033225714437","57,6624958506742","1147,72583727358","238,483019152285"
Problemas com a compra,"19799,043317196","21292,1322856339","21315,857111008","29713,2619040962","21365,1791416397","45197,1057729855","20802,3442379459","32091,8489395738"
Rastreio de cartão,"2465,2014162961","2958,784121168","4936,70412037716","1998,70495356618","3388,35356882445","4039,64920474867","3685,47673916167","3321,66072728267"
Recebimento de PIX,"8313,24530612473","21328,8240692842","19853,2787641032","17743,4472534734","31106,8139961768","36922,9225625097","16498,4493798374","28591,06127072"
Recebimento de TED,"247,736899262361","2362,57378187118","2812,89740854848","6,77077682304144",0,"4849,12156981131","1511,81027284229","1224,52812993981"
Resultado análise de fraude,"2247,98965939117","3979,15124676802","6690,4499212294","2094,21047369423","288,373717868182","8709,15864498663","4610,93393068103","4125,18357096855"
Resultado da Proposta,"7946,18923310648","4558,21593987803","4495,78107780718","17528,2350536684","10358,0178346314","739,932246410264","5704,25386063336","9538,44594415582"
Samsung pay,"3674,13852792582","1615,2484237493",,"513,621818181818","345,264624243931",,"2311,41989782337","402,191157445949"
Segunda via cartão,"74693,3735404027","98992,5640136271","61932,3748101938","90853,3831193767","69516,5415957089","106022,821350177","78539,4374547411","88797,582021754"
Status da Proposta,"2399,85901532738",,,"193,437125748503",,,"2399,85901532738","193,437125748503"
Token 3DS,300,"309,69387755102","1393,39150124272","-34,9528301886793","582,376729536116","159,032805028546","757,131836740473","307,884154697547"
Token E-mail,"11252,9225236895","4780,09914259325","6054,43523502314","34913,0109595453","3172,32797609875","12207,8231811609","7450,29897726512","17220,9579699128"
Token SMS,"2722,75487779417","1644,57606611056","1852,34479655802","1648,24911272979","873,314157743485","1403,68697246468","2132,06429870573","1363,53292024125"
Uso do cartão de débito,"2378,58250356073","1740,27972853151","3436,54862992711","829,322244862977","4242,2234694834","7772,21577933556","2602,79855627484","5080,15818907506"
Validação novo dispositivo,"190249,716478475","42325,0042431664","34281,6841987279","429905,693770278","154485,898132032","66598,3134080824","88952,1349734561","216996,635103464"
Vencimento fatura,"8539,8738835344","7930,67410830754","9226,96576810168","36006,6228365093","10404,2206993114","19777,0986663234","8565,82057014061","22071,9651256969"
Total Resultado,"14062,8821099835","12499,9729527817","11218,8517379429","29160,8952690973","22350,5828947607","31559,3210708566","12594,4122921809","27696,2132202585"
