,dt_mes,hierarquia_1,hierarquia_4,clientes_cx,vl_bruto_recuperados_60d,LTV_Receita_Recuperado,LT_mediano_recuperados,clientes_recorte_total,clientes_recorte_churn,clientes_recorte_churn_recuperados,montante_ltv,media_ltv,mediana_ltv,clientes_rentaveis_total,perc_recorte,perc_churn_recorte,perc_recuperacao_churn
0,2023-06-01,Cartão,Não entendimento fatura,5243,152835.17398078137,477250.603181073,34.64777974596178,1235.0,182.0,150.0,4735580742.040066,2559.031946441499,357.42531911400584,1850274,0.2355521647911501,0.14736842105263157,0.8241758241758241
1,2023-01-01,Fraude,Token SMS,67,836.3306348621927,4135.980121781829,35.50255623586525,6.0,2.0,2.0,3117404080.3229485,2152.3162399227754,364.94405866884443,1448099,0.08955223880597014,0.3333333333333333,1.0
2,2023-01-01,Conta,Vencimento fatura,147,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1448099,0.006802721088435374,0.0,0.0
3,2023-04-01,Assunto não identificado,Assunto não identificado,3955,96347.34389021237,203342.32027774755,33.36600958977091,4878.0,3722.0,134.0,4053534449.564043,2446.2797368553447,361.5283024593481,1656724,1.2333754740834386,0.7630176301763018,0.03600214938205266
4,2023-04-01,Cartão,Lançamentos duplicados,176,2888.615540215942,8356.868104904524,34.64777974596178,127.0,77.0,4.0,4209252785.332178,2540.2546652014935,375.4165736193732,1656724,0.7215909090909091,0.6062992125984252,0.05194805194805195
5,2023-03-01,Conta,Dúvidas Conta,515,10263.58099471678,7166.4078531797295,36.824034334763944,84.0,10.0,9.0,3679654733.243224,2319.5087306452397,397.2191029903189,1586123,0.16310679611650486,0.11904761904761904,0.9
6,2023-02-01,Cartão,Token SMS,185,2564.9687014833753,1107.4284058797093,36.817984046410444,34.0,3.0,3.0,3178783311.358627,2129.949378499263,373.9118862192634,1492153,0.1837837837837838,0.08823529411764706,1.0
7,2023-04-01,Marketplace,Problemas com a compra,38,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,1656724,0.18421052631578946,1.0,0.0
8,2023-04-01,Marketplace,Resultado da Proposta,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1656724,0.0,0.0,0.0
9,2023-01-01,Conta,Informações sobre fatura,103,600.0,470.271851553691,33.98988053955057,11.0,2.0,2.0,2984579239.3011365,2060.611393508771,349.39469922567514,1448099,0.10679611650485436,0.18181818181818182,1.0
10,2023-02-01,Conta,Não reconhecimento de PIX,123,1984.4035971860694,1152.9238822363495,33.36600958977091,28.0,3.0,3.0,2880747471.5861387,1930.2499370728513,338.8547174553304,1492153,0.22764227642276422,0.10714285714285714,1.0
11,2023-01-01,Crédito Pessoal,Dúvidas FGTS,324,18365.969958084603,36994.16088652979,36.817984046410444,66.0,14.0,14.0,3232909003.3127265,2232.0630790031214,378.4658332947874,1448099,0.2037037037037037,0.21212121212121213,1.0
12,2023-04-01,Conta,Aquisição de Crédito,116,0.0,0.0,0.0,394.0,394.0,0.0,0.0,0.0,0.0,1656724,3.396551724137931,1.0,0.0
13,2023-03-01,Cartão,Bloqueio de conta,65,1530.0692078544025,759.9990323704436,63.87783251231527,21.0,1.0,1.0,6383015142.133952,4023.600153640238,689.0471342938573,1586123,0.3230769230769231,0.047619047619047616,1.0
14,2023-03-01,Fraude,Gestão de Extrato,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1586123,0.0,0.0,0.0
15,2023-04-01,Crédito Pessoal,Uso do cartão de débito,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1656724,0.0,0.0,0.0
16,2023-05-01,Tecnologia,Primeiro Desbloqueio de cartão,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1765592,0.0,0.0,0.0
17,2023-04-01,Tecnologia,Token 3DS,10,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1656724,0.2,1.0,0.0
